Index,Initiative,Power Name,Description,Type,Item,Where,Min,Max,FixedAction,FixedInitiative,Infected,Suicidal,Murderer,Predicter,Silencer,2xVote,LookPostAction,DoPower,Self-Destruct,AllowRandom,Vault,Complexity
27,50,Team Shuffle,Swap Two Players Teams,Swap,Team,Player Player,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
28,0,Deathwish,Wins If Voted Out,Condition,Win,Self,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
29,0,Oracle,Wins If Vote Is Infiltrator,Condition,Win,Vote,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
30,4,Nope!,Block # Player From Doing Actions,Alter,Block,Player,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
31,4,Role Jam,Block # Role From Doing Actions,Alter,Block,Role,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
32,2,Priority Warp,Alter # Players Action * Priority,Alter,Initiative,Player,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
33,2,Order Rewrite,Alter # Roles Action * Priority,Alter,Initiative,Role,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
34,1,Hard Priority,Set # Players Action Priority,Alter,Initiative,Player,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
35,1,Order Rule,Set # Roles Action Priority,Alter,Initiative,Role,1,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
36,3,Shield,Protect # Player From * Actions,Alter,Protect,Player,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
37,3,Guard,Protect # * Roles From * Actions,Alter,Protect,Role,1,99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
38,0,Mute Vote,Silence # Player From Voting,Tamper,Silence,Player,1,99,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
39,0,Vote Jam,Silence # Role From Voting,Tamper,Silence,Role,1,99,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
40,0,Vote Encore,Duplicate Own Vote,Tamper,Duplicate,Player,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
41,0,Vote Echo,Duplicate Role Votes,Tamper,Duplicate,Role,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
42,0,Double Tap,Duplicate Own Vote,Tamper,Duplicate,Self,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
43,0,Death Vote,Players Vote Is Killed,Tamper,Kill,Player,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
44,0,Last Laugh,"Players Vote Is Killed, If Player is Killed",Tamper,Destruct,Player,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
45,0,Time Warp,Shorten or lengthen discussion times,Settings,Time,Room,0,99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
46,0,No Action,"Has no power, can be modified",None,NoAction,None,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1


